"# 070";polard;73;2014-03-27;Пермь;"МЕТРО Кэш энд Керри ООО (1035 Пермь)";"г. Пермь, шоссе Космонавтов, 393";"(77) 812537";;67;131;7679,75;629;28.03.2014
"# 070";polard;73;2014-03-27;Пермь;"ООО Актив-Продукт Пермь";"г.Пермь ул.Деревообделочная д.3А";"(77) 812572";;943;1604;109116,56;621;28.03.2014
"# 070";polard;73;2014-03-27;Ростов;"МЕТРО Кэш энд Керри ООО (1024 Ростов)";"344090, РФ, г. Ростов-на Дону, ул. Доватора, д. 255";"(77) 810305";;86;177,50;11428,77;623;28.03.2014
"# 070";polard;73;2014-03-27;Краснодар;"МЕТРО Кэш энд Керри ООО (1026 Краснодар)";"350087, РФ, г. Краснодар, Ростовское шоссе, д. 30";"(77) 810210";;93;279;11551,93;630;28.03.2014
"# 070";polard;73;2014-03-27;Екатеринбург;"МЕТРО Кэш энд Керри ООО (1029 Екатеринбург)";"г. Екатеринбург, дублер Сибирского тракта, д. 21 (07:00-16:00 подача документов)";"(77) 811133";;115;231,25;13276,19;624;28.03.2014
"# 070";polard;73;2014-03-27;Екатеринбург;"ООО Наш Союз Екатеринбург";"Екатеренбург,перНикольский д.1 склад 33,12";"(77) 811187";;317;396,25;27731,70;622;28.03.2014
"# 070";polard;73;2014-03-27;Тюмень;"МЕТРО Кэш энд Керри ООО (1033 Тюмень)";"625007, г. Тюмень, ул. Мельникайте, 141";"(77) 811636";;91;168;10098,76;625;28.03.2014
"# 070";polard;73;2014-03-27;Ставрополь;"МЕТРО Кэш энд Керри ООО (1042 Ставрополь)";"355000, РФ, г. Ставрополь, ул. Южный обход, 13";"(77) 812718";;167;308,50;17121,52;626;28.03.2014
"# 070";polard;73;2014-03-27;Ижевск;"МЕТРО Кэш энд Керри ООО (1071 Ижевск)";"426075, Удмурдская республика, г. Ижевск, ул. Союзная, 6";"(77) 815111";;95;145;9255,64;627;28.03.2014
"# 070";polard;73;2014-03-27;Магнитогорск;"МЕТРО Кэш энд Керри ООО (1078 Магнитогорск)";"455051, Челябинская область, г. Магнитогорск, ул. 50-летия Магнитки, 69";"(77) 814801";;71;164;11481,36;628;28.03.2014
;polard;71;2014-03-26;Москва;"МЕТРО Кэш энд Керри ООО (1010 Москва)";"125455, г. Москва, Ленинградское ш., д.71г";"(77) 817701";;430;1132,50;79356,18;613;27.03.2014
;polard;71;2014-03-26;Москва;"МЕТРО Кэш энд Керри ООО (1011 Москва)";"129226, г. Москва, пр-т Мира, д.211, корп.1";"(77) 817702";;188;515;29792,89;614;27.03.2014
;polard;71;2014-03-26;Москва;"МЕТРО Кэш энд Керри ООО (1012 Москва)";"117545, г. Москва, ул. Дорожная, д.1, корп. 1";"(77) 817703";;116;316,50;18191,72;615;27.03.2014
;polard;71;2014-03-26;Москва;"МЕТРО Кэш энд Керри ООО (1018 Москва)";"105523, г. Москва, МКАД, 104 км, д. 6";"(77) 817707";;291;818,75;38738,12;616;27.03.2014
;polard;71;2014-03-26;Москва;"МЕТРО Кэш энд Керри ООО (1049 Москва)";"142784, Московская обл., Ленинский район, д. Картмазово, стр. 7";"(77) 817710";;130;372,50;17822,74;617;27.03.2014
;polard;71;2014-03-26;Москва;"МЕТРО Кэш энд Керри ООО (1067 Москва)";"143987, Московская обл., г. Железнодорожный, ул. Советская, д. 60";"(77) 817711";;103;260;17971,92;618;27.03.2014
;polard;71;2014-03-26;Москва;"МЕТРО Кэш энд Керри ООО (1444 Моск.обл)";"Московская обл.Котельники ,Новорязанское шоссе д.5";"(77) 817731";;140;378;17081,21;619;27.03.2014
#777;user;72;2014-03-26;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";dsfds;sdfdsf;dfdsfd;sdfdsf;sdfsd;sdfdsf
;user;62;2014-03-23;Астрахань;"О`КЕЙ Астрахань ул.Минусинская";"г.Астрахань ул.Минусинская д.8";"(77) 813584";2;2;2;2;2;2
;user;62;2014-03-23;Астрахань;"О`КЕЙ Астрахань ул.Минусинская";"г.Астрахань ул.Минусинская д.8";"(77) 813584";2;2;2;2;2;2
333;test;64;2014-03-22;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";123;234;134;234;234;234
333;test;64;2014-03-22;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";432;432;432;234;432;234
333;test;64;2014-03-22;Астрахань;"МЕТРО Кэш энд Керри ООО (1058 Астрахань)";"414021, г. Астрахань, ул. Заводская/Набережная реки Царева, д. 54/83";"(77) 813581";1111111;;;;;
;test;64;2014-03-22;Белгород;"Седьмой континент г.Белгород пр-т Б.Хмельницкого д 164";"г.Белгород пр-т Б.Хмельницкого д 164";"(77) 814701";zzzz;;;;;
;test;64;2014-03-22;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";yyyy;;;;;
#777;user;70;2014-03-22;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";2;2;2;2;2;2
;test;64;2014-03-22;Брянск;"МЕТРО Кэш энд Керри ООО (1056 Брянск)";"241029,Брянск,Фокинский район,Московский пр-т, д.1Д";"(77) 813901";yyyy;;;;;
333;test;64;2014-03-22;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";555;;555;;;
333;test;64;2014-03-22;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";090909;;;;;
333;test;64;2014-03-22;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";090909;;;;;
333;test;64;2014-03-22;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";090909;;;;;
333;test;64;2014-03-22;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";090909;;;;;
333;test;64;2014-03-22;Волгоград;"реал,-Гипермаркет ООО (8022 Волгоград)";"400075, г. Волгоград, ул. Историческая, 175";"(77) 811012";88888;;888888;;;
333;test;64;2014-03-22;Ярославль;"МЕТРО Кэш энд Керри ООО (1022 Ярославль)";"150022, г. Ярославль, Проспект Фрунзе, д. 32";"(77) 810708";123;;123;;;
333;test;64;2014-03-22;Ярославль;"МЕТРО Кэш энд Керри ООО (1022 Ярославль)";"150022, г. Ярославль, Проспект Фрунзе, д. 32";"(77) 810708";123;;123;;;
;user;59;2014-03-21;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";1;1;1;1;1;1
;user;59;2014-03-21;Астрахань;"О`КЕЙ, г. Астрахань, ул. Боевая, д.25";"г. Астрахань, ул. Боевая, д.25 ТРЦ Алимпик";"(77) 813501";3;3;3;3;3;3
;user;59;2014-03-21;Астрахань;"МЕТРО Кэш энд Керри ООО (1058 Астрахань)";"414021, г. Астрахань, ул. Заводская/Набережная реки Царева, д. 54/83";"(77) 813581";2;2;2;2;2;2
;user;59;2014-03-21;Астрахань;"МЕТРО Кэш энд Керри ООО (1058 Астрахань)";"414021, г. Астрахань, ул. Заводская/Набережная реки Царева, д. 54/83";"(77) 813581";1;1;1;1;1;1
333;test;61;2014-03-21;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";22;22;22;22;22;22
333;test;61;2014-03-21;Астрахань;"МЕТРО Кэш энд Керри ООО (1058 Астрахань)";"414021, г. Астрахань, ул. Заводская/Набережная реки Царева, д. 54/83";"(77) 813581";111;11;11;11;11;11
333;test;61;2014-03-21;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";33;33;33;33;33;33
333;test;61;2014-03-21;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";123;123;13;;;
333;test;61;2014-03-21;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";123;123;13;;;
;user;48;2014-03-19;Москва;"ООО реал-Гипермаркет (8045 Серпухов)";"142203,Московская обл.,г.Серпухов,б-р. 65 лет Победы д.4";"(77) 815414";321;;321;;;
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1019 Москва)";"109548, г. Москва, ул. Шоссейная, 2 б";"(77) 817708";;331;930;41680,15;566;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1048 Москва)";"140073, РФ, Московская обл., пос. Томилино, 23 км. Ново-Рязанского ш., 17";"(77) 817709";;70;201,25;10710,57;567;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1049 Москва)";"142784, Московская обл., Ленинский район, д. Картмазово, стр. 7";"(77) 817710";;209;611,25;27171,99;568;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1061 Москва)";"141580, МО, Солнечногорский район, д. Черная грязь, ул. Торгово-Промышленная, д. 5";"(77) 817712";;258;725;38032,21;569;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1067 Москва)";"143987, Московская обл., г. Железнодорожный, ул. Советская, д. 60";"(77) 817711";;154;427;20747,35;570;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1317 Серпухов)";"Московская обл.г.Серпухов бульвар 65 лет Победы д,4";"(77) 815415";;54;141;6354,67;572;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1444 Моск.обл)";"Московская обл.Котельники ,Новорязанское шоссе д.5";"(77) 817731";;281;689;29533,58;573;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1018 Москва)";"105523, г. Москва, МКАД, 104 км, д. 6";"(77) 817707";;290;814;37964,52;565;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1017 Москва)";"123458, г. Москва, Проезд № 607, д. 14";"(77) 817706";;175;469;22915,09;564;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1013 Москва)";"121471, г. Москва, ул. Рябинова, д.59";"(77) 817704";;277;740;34515,08;571;20.03.2014
;user;48;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1010 Москва)";"125455, г. Москва, Ленинградское ш., д.71г";"(77) 817701";2;4;15;1500;005;01.04.2014
;user;48;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1011 Москва)";"129226, г. Москва, пр-т Мира, д.211, корп.1";"(77) 817702";3;6;23;2000;007;01.04.2014
;user;48;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1012 Москва)";"117545, г. Москва, ул. Дорожная, д.1, корп. 1";"(77) 817703";4;8;30;3000;008;02.04.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1010 Москва)";"125455, г. Москва, Ленинградское ш., д.71г";"(77) 817701";;360;1062,50;50948,27;559;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1011 Москва)";"129226, г. Москва, пр-т Мира, д.211, корп.1";"(77) 817702";;195;515;25470,02;560;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1012 Москва)";"117545, г. Москва, ул. Дорожная, д.1, корп. 1";"(77) 817703";;196;518;28917,08;561;20.03.2014
;user;48;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1012 Москва)";"117545, г. Москва, ул. Дорожная, д.1, корп. 1";"(77) 817703";123;;123;;;
;user;48;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1017 Москва)";"123458, г. Москва, Проезд № 607, д. 14";"(77) 817706";123;;123;;;
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1014 Москва)";"127411, г. Москва, Дмитровское ш., д.165 б";"(77) 817705";;261;723,50;32633,92;563;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1013 Москва)";"121471, г. Москва, ул. Рябинова, д.59";"(77) 817704";;80;240;9416,40;562;20.03.2014
;user;46;2014-03-13;Екатеринбург;"ЖТК Екатеринбург Минометчиков";"Екатеринбург ул.Минометчиков д,74";"(77) 811168";1;1;2;333;007JB;13.04.2014
;user;46;2014-03-13;Ижевск;"ООО реал-Гипермаркет (8034 Ижевск)";"426009, г.Ижевск, ул. Ленина, д. 136";"(77) 815110";1;2;5;1500;111;01.01.2014
;user;46;2014-03-13;Ижевск;"РЦ Тандер Магнит Ижевск";#Н/Д;"(77) 815114";1;2;5;1555;121;01.01.2014
;user;46;2014-03-13;Ижевск;"МЕТРО Кэш энд Керри ООО (1071 Ижевск)";"426075, Удмурдская республика, г. Ижевск, ул. Союзная, 6";"(77) 815111";2;4;10;3000;222;01.02.2014
;user;39;2014-03-08;Красноярск;"МЕТРО Кэш энд Керри ООО (1095 Красноярск)";"г.Красноярск,ул.Кутузова ,д.1,стр.196";"(77) 813168";1231;123123;123123;123123;123123;123123
;user;39;2014-03-08;Астрахань;"МЕТРО Кэш энд Керри ООО (1058 Астрахань)";"414021, г. Астрахань, ул. Заводская/Набережная реки Царева, д. 54/83";"(77) 813581";;;wqweqwe;;;
;user;39;2014-03-08;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";qwe;;;;;
;user;39;2014-03-08;Волгоград;"Ашан Волгоград Историческая";"811094 Волгоград ул.Историческая д,175";"(77) 811094";qweqwe;;;;;
;user;39;2014-03-08;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";2;;we;;;
;user;39;2014-03-08;Кемерово;"МЕТРО Кэш энд Керри ООО (1076 Кемерово)";"650056, г.Кемерово, ул. Волгоградская, д. 58";"(77) 814601";;;;;123;123
;user;39;2014-03-08;Астрахань;"О`КЕЙ г. Астрахань пл.Вокзальная";"О`КЕЙ г. Астрахань пл.Вокзальная д,1 ТРЦ Ярмарка";"(77) 813585";909090;9090;9090;9090;9090;9090
;polard;35;2014-03-06;Пермь;"МЕТРО Кэш энд Керри ООО (1035 Пермь)";"г. Пермь, шоссе Космонавтов, 393";"(77) 812537";;126;238;12849,61;479;07.03.2014
;polard;35;2014-03-06;Казань;"МЕТРО Кэш энд Керри ООО (1074 Казань)";"г.Казань, ул. Тихорецкая, д.4";"(77) 810508";;100;258;12806,65;491;07.03.2014
;polard;35;2014-03-06;Казань;"МЕТРО Кэш энд Керри ООО (1023 Казань)";"420124, г. Казань, ул. Вахитова, д. 4";"(77) 810509";;189;392;20409,59;472;07.03.2014
;polard;35;2014-03-06;Санкт-Петербург;"МЕТРО Кэш энд Керри ООО (1015 С.Петербург)";"197227, г. Санкт-Петербург, Комендантский пр-т., д. 3, лит.А";"(77) 810129";;109;222;12767,91;469;07.03.2014
;polard;35;2014-03-06;Санкт-Петербург;"МЕТРО Кэш энд Керри ООО (1016  С.Петербург)";"195426, г. Санкт-Петербург, Проспект Косыгина, д. 4, лит.А";"(77) 810130";;82;205,75;10040,27;470;07.03.2014
;polard;35;2014-03-06;Санкт-Петербург;"МЕТРО Кэш энд Керри ООО (1020  С.Петербург)";"РФ г. Санкт-Петербург, ш. Пулковское, участок 6 (07:00-16:00 подача документов)";"(77) 810131";;57;148,25;8992,73;471;07.03.2014
;polard;35;2014-03-06;Ростов;"МЕТРО Кэш энд Керри ООО (1024 Ростов)";"344090, РФ, г. Ростов-на Дону, ул. Доватора, д. 255";"(77) 810305";;74;187;14555,89;473;07.03.2014
;polard;35;2014-03-06;Ростов;"МЕТРО Кэш энд Керри ООО (1053 Ростов)";"РФ, 344111, г.Ростов-на-Дону, Проспект 40-летия Победы, 340";"(77) 810304";;19;37,75;2619,21;485;07.03.2014
;polard;35;2014-03-06;Краснодар;"МЕТРО Кэш энд Керри ООО (1026 Краснодар)";"350087, РФ, г. Краснодар, Ростовское шоссе, д. 30";"(77) 810210";;161;309,75;17886,56;474;07.03.2014
;polard;35;2014-03-06;Краснодар;"МЕТРО Кэш энд Керри ООО (1072 Адыгея)";"385112, Республика Адыгея, Тахтамукайский район, а. Новая Адыгея, ул. Тургеневское шоссе, 27/2";"(77) 810211";;25;61;2939,91;490;07.03.2014
;polard;35;2014-03-06;Уфа;"МЕТРО Кэш энд Керри ООО (1027 Уфа)";"г. УФА, ул. Рубежная 170";"(77) 811432";;400;920;46408.23;493;07.03.2014
;polard;35;2014-03-06;Екатеринбург;"МЕТРО Кэш энд Керри ООО (1065  Екатеринбург)";"620131,г. Екатеринбург, Проспект Космонавтов, д.102А";"(77) 811165";;176;405,50;21094,57;488;07.03.2014
;polard;35;2014-03-06;Екатеринбург;"ООО Наш Союз Екатеринбург";"Екатеренбург,перНикольский д.1 склад 33,12";"(77) 811187";;655;818,75;54148,50;453;07.03.2014
;polard;35;2014-03-06;Челябинск;"МЕТРО Кэш энд Керри ООО (1031 Челябинск)";"456620, Челябинская обл. г. Копейск, пр. Победы, 76";"(77) 811535";;155;416;20283,57;475;07.03.2014
;polard;35;2014-03-06;Самара;"МЕТРО Кэш энд Керри ООО (1032 Самара)";"443072, РФ, г. Самара, Московское шоссе, д. 5а";"(77) 810412";;45;119,25;7140;476;07.03.2014
;polard;35;2014-03-06;Самара;"МЕТРО Кэш энд Керри ООО (1064 Самара)";"443070, Самара, ул. Партизанская, 33. Бизнес Центр Сфера";"(77) 817889";;30;69;4814,77;487;07.03.2014
;polard;35;2014-03-06;Тольятти;"МЕТРО Кэш энд Керри ООО (1034 Тольятти)";"г.Тольятти, Южное шоссе, д.2А";"(77) 811813";;74;117;6356,08;478;07.03.2014
;polard;35;2014-03-06;Киров;"МЕТРО Кэш энд Керри ООО (1040 Киров)";"610050, г.Киров ,ул.Московская ,205";"(77) 814001";;215;330;19979,76;480;07.03.2014
;polard;35;2014-03-06;Ульяновск;"МЕТРО Кэш энд Керри ООО (1041 Ульяновск)";"г. Ульяновск, ул.Урицкого, д.100-Д";"(77) 812417";;88;194;10115,27;481;07.03.2014
;polard;35;2014-03-06;Ставрополь;"МЕТРО Кэш энд Керри ООО (1042 Ставрополь)";"355000, РФ, г. Ставрополь, ул. Южный обход, 13";"(77) 812718";;51;83;4345,06;482;07.03.2014
;polard;35;2014-03-06;"Набережные Челны";"МЕТРО Кэш энд Керри ООО (1043 Набережные Челны)";"423822, Республика Татарстан, г. Набережные Челны, проспект Чулман, 33";"(77) 811319";;71;108;7466,75;483;07.03.2014
;polard;35;2014-03-06;Оренбург;"МЕТРО Кэш энд Керри ООО (1047 Оренбург)";"РФ, г. Оренбург, пр-т Победы, 155";"(77) 812822";;136;318,75;13955,73;484;07.03.2014
;polard;35;2014-03-06;Тверь;"МЕТРО Кэш энд Керри ООО (1063 Тверь)";"г. Тверь, ул. Склизкова, 122";"(77) 813490";;149;310,50;16405,78;486;07.03.2014
;polard;35;2014-03-06;Чебоксары;"МЕТРО Кэш энд Керри ООО (1070 Чебоксары)";"г.Чебоксары, Марпосадское ш., 15/2";"(77) 814901";;19;36;2562,46;489;07.03.2014
;polard;35;2014-03-06;Тюмень;"МЕТРО Кэш энд Керри ООО (1033 Тюмень)";"625007, г. Тюмень, ул. Мельникайте, 141";"(77) 811636";;82;211;11099,98;477;07.03.2014
;polard;35;2014-03-06;Пятигорск;"МЕТРО Кэш энд Керри ООО (1086 Пятигорск)";"357538, Ставропольский край, г. Пятигорск, Бештаугорское шоссе, 94";"(77) 812101";;126;308;15119.93;492;07.03.2014
;polard;35;2014-03-06;Тюмень;"МЕТРО Кэш энд Керри ООО (1033 Тюмень)";"625007, г. Тюмень, ул. Мельникайте, 141";"(77) 811636";;82;211;11099,98;477;07.03.2014
;polard;35;2014-03-06;Пятигорск;"МЕТРО Кэш энд Керри ООО (1086 Пятигорск)";"357538, Ставропольский край, г. Пятигорск, Бештаугорское шоссе, 94";"(77) 812101";;126;308;15119.93;492;07.03.2014
;user;34;2014-03-06;Казань;"МЕТРО Кэш энд Керри ООО (1074 Казань)";"г.Казань, ул. Тихорецкая, д.4";"(77) 810508";12;;12;;;
;user;34;2014-03-06;Екатеринбург;"О`КЕЙ г.Екатеринбург ул.Бабушкина";"г.Екатеринбург ул.Бабушкина д.2А";"(77) 811166";12;;22;;;
;user;34;2014-03-06;Ижевск;"РЦ Тандер Магнит Ижевск";#Н/Д;"(77) 815114";22;;33;;;
;user;36;2014-03-05;Брянск;"МЕТРО Кэш энд Керри ООО (1056 Брянск)";"241029,Брянск,Фокинский район,Московский пр-т, д.1Д";"(77) 813901";qWD;asd;ad;;;
;user;36;2014-03-05;Астрахань;"О`КЕЙ Астрахань ул.Минусинская";"г.Астрахань ул.Минусинская д.8";"(77) 813584";q;;ew;;;
;user;36;2014-03-05;Брянск;"МЕТРО Кэш энд Керри ООО (1056 Брянск)";"241029,Брянск,Фокинский район,Московский пр-т, д.1Д";"(77) 813901";qWD;asd;ad;;;
;user;36;2014-03-05;Брянск;"МЕТРО Кэш энд Керри ООО (1056 Брянск)";"241029,Брянск,Фокинский район,Московский пр-т, д.1Д";"(77) 813901";1342;234;234;234;234;
;user;36;2014-03-05;Астрахань;"МЕТРО Кэш энд Керри ООО (1058 Астрахань)";"414021, г. Астрахань, ул. Заводская/Набережная реки Царева, д. 54/83";"(77) 813581";4323;234;423;234;234;
;user;36;2014-03-05;Астрахань;"О`КЕЙ Астрахань ул.Минусинская";"г.Астрахань ул.Минусинская д.8";"(77) 813584";q;;ew;;;
;user;36;2014-03-05;Брянск;"МЕТРО Кэш энд Керри ООО (1056 Брянск)";"241029,Брянск,Фокинский район,Московский пр-т, д.1Д";"(77) 813901";qWD;asd;ad;;;
;user;36;2014-03-05;Астрахань;"О`КЕЙ Астрахань ул.Минусинская";"г.Астрахань ул.Минусинская д.8";"(77) 813584";q;;ew;;;
;user;36;2014-03-05;Брянск;"МЕТРО Кэш энд Керри ООО (1056 Брянск)";"241029,Брянск,Фокинский район,Московский пр-т, д.1Д";"(77) 813901";qWD;asd;ad;;;
;user;36;2014-03-05;Астрахань;"О`КЕЙ Астрахань ул.Минусинская";"г.Астрахань ул.Минусинская д.8";"(77) 813584";q;;ew;;;
